timestamp,model,input_tokens,output_tokens,input_cost,output_cost,total_cost,latency_ms,success,error
2026-01-29T16:53:58.541953,nemotron,288,0,0.000000,0.000000,0.000000,5732.85,True,
2026-01-29T16:54:28.354884,gemma,325,1301,0.000000,0.000000,0.000000,29811.73,True,
2026-01-29T16:54:29.671011,nemotron,755,5,0.000000,0.000000,0.000000,1311.78,True,
2026-01-29T16:54:41.345422,gemma,636,38,0.000000,0.000000,0.000000,11673.44,True,
2026-01-29T16:54:47.052017,nemotron,288,0,0.000000,0.000000,0.000000,5703.49,True,
2026-01-29T16:55:13.193120,gemma,325,1158,0.000000,0.000000,0.000000,26139.90,True,
2026-01-29T16:55:19.540828,nemotron,1856,359,0.000000,0.000000,0.000000,6343.17,True,
2026-01-29T16:55:32.457044,gemma,537,417,0.000000,0.000000,0.000000,12910.32,True,
2026-01-29T16:55:34.387500,nemotron,834,158,0.000000,0.000000,0.000000,1926.44,True,
2026-01-29T16:55:49.238492,gemma,1169,431,0.000000,0.000000,0.000000,14849.87,True,
2026-01-29T16:55:50.340431,nemotron,1124,5,0.000000,0.000000,0.000000,1098.68,True,
2026-01-29T16:56:01.218391,gemma,866,277,0.000000,0.000000,0.000000,10877.56,True,
2026-01-29T16:56:04.084109,nemotron,694,165,0.000000,0.000000,0.000000,2862.50,True,
2026-01-29T16:56:25.383296,gemma,1035,277,0.000000,0.000000,0.000000,21298.48,True,
2026-01-29T16:56:30.683735,nemotron,835,197,0.000000,0.000000,0.000000,5293.33,True,
2026-01-29T16:56:52.292161,gemma,606,1062,0.000000,0.000000,0.000000,21607.55,True,
2026-01-29T16:56:56.002276,nemotron,1547,297,0.000000,0.000000,0.000000,3707.37,True,
2026-01-29T16:57:21.362816,gemma,2021,1320,0.000000,0.000000,0.000000,25359.30,True,
2026-01-29T16:57:23.240713,nemotron,2082,80,0.000000,0.000000,0.000000,1874.76,True,
2026-01-29T16:57:47.715643,gemma,828,647,0.000000,0.000000,0.000000,18858.52,True,
2026-01-29T16:58:08.400275,gemma,1963,963,0.000000,0.000000,0.000000,20680.27,True,
2026-01-29T16:58:13.930060,nemotron,1448,278,0.000000,0.000000,0.000000,5526.52,True,
2026-01-29T16:58:36.458146,gemma,1903,1128,0.000000,0.000000,0.000000,22527.06,True,
2026-01-29T16:58:42.825234,nemotron,1826,426,0.000000,0.000000,0.000000,6360.86,True,
2026-01-29T16:59:08.422277,gemma,602,859,0.000000,0.000000,0.000000,25595.58,True,
2026-01-29T16:59:11.784250,nemotron,1340,249,0.000000,0.000000,0.000000,3359.73,True,
2026-01-29T16:59:36.363709,gemma,1765,1010,0.000000,0.000000,0.000000,24578.86,True,
2026-01-29T16:59:39.638787,nemotron,1768,119,0.000000,0.000000,0.000000,3272.27,True,
2026-01-29T17:00:02.171374,gemma,779,666,0.000000,0.000000,0.000000,18925.45,True,
2026-01-29T17:00:20.695717,gemma,778,393,0.000000,0.000000,0.000000,14500.94,True,
2026-01-29T17:00:46.202441,gemma,857,545,0.000000,0.000000,0.000000,20947.58,True,
2026-01-29T17:01:06.886345,gemma,1649,757,0.000000,0.000000,0.000000,20679.74,True,
2026-01-29T17:01:10.162075,nemotron,1238,196,0.000000,0.000000,0.000000,3271.35,True,
2026-01-29T17:01:29.356444,gemma,1611,797,0.000000,0.000000,0.000000,19193.25,True,
2026-01-29T17:01:35.352596,nemotron,1471,284,0.000000,0.000000,0.000000,5991.91,True,
2026-01-29T17:01:56.003781,gemma,599,929,0.000000,0.000000,0.000000,20649.86,True,
2026-01-29T17:01:58.282473,nemotron,1408,200,0.000000,0.000000,0.000000,2274.98,True,
2026-01-29T17:02:19.593320,gemma,1785,929,0.000000,0.000000,0.000000,21309.41,True,
2026-01-29T17:02:22.661651,nemotron,1684,78,0.000000,0.000000,0.000000,3061.49,True,
2026-01-29T17:02:57.068077,gemma,711,793,0.000000,0.000000,0.000000,27810.78,True,
2026-01-29T17:03:12.838272,gemma,1565,806,0.000000,0.000000,0.000000,15766.59,True,
2026-01-29T17:03:15.858011,nemotron,1285,220,0.000000,0.000000,0.000000,3016.20,True,
2026-01-29T17:03:43.152779,gemma,1681,1080,0.000000,0.000000,0.000000,27293.94,True,
2026-01-29T17:03:50.009171,nemotron,1787,401,0.000000,0.000000,0.000000,6853.88,True,
2026-01-29T17:04:14.585448,gemma,594,928,0.000000,0.000000,0.000000,24574.93,True,
2026-01-29T17:04:17.235883,nemotron,1402,225,0.000000,0.000000,0.000000,2644.43,True,
2026-01-29T17:04:59.129368,gemma,1803,696,0.000000,0.000000,0.000000,41892.29,True,
2026-01-29T17:05:03.126368,nemotron,1446,69,0.000000,0.000000,0.000000,3993.59,True,
2026-01-29T17:05:25.960848,gemma,653,853,0.000000,0.000000,0.000000,18723.45,True,
2026-01-29T17:05:57.286711,gemma,1326,949,0.000000,0.000000,0.000000,31322.29,True,
2026-01-29T17:05:59.544501,nemotron,1423,168,0.000000,0.000000,0.000000,2253.88,True,
2026-01-29T17:06:19.857464,gemma,1767,949,0.000000,0.000000,0.000000,20312.39,True,
2026-01-29T17:06:25.761469,nemotron,1658,398,0.000000,0.000000,0.000000,5899.78,True,
2026-01-29T17:06:31.545627,nemotron,855,334,0.000000,0.000000,0.000000,5782.38,True,
2026-01-29T17:06:41.894490,nemotron,1048,568,0.000000,0.000000,0.000000,10347.65,True,
2026-01-29T17:06:48.704712,nemotron,962,299,0.000000,0.000000,0.000000,6807.77,True,
2026-01-29T17:06:53.838366,nemotron,1019,383,0.000000,0.000000,0.000000,5131.91,True,
2026-01-29T17:07:00.612736,nemotron,1142,467,0.000000,0.000000,0.000000,6773.13,True,
2026-01-29T17:07:06.970074,nemotron,1242,352,0.000000,0.000000,0.000000,6356.45,True,
2026-01-29T17:07:33.430122,nemotron,1128,788,0.000000,0.000000,0.000000,26458.86,True,
2026-01-29T17:07:37.031224,nemotron,1226,407,0.000000,0.000000,0.000000,3595.94,True,
2026-01-29T17:07:53.034603,nemotron,1286,573,0.000000,0.000000,0.000000,16002.57,True,
2026-01-29T17:08:10.024596,nemotron,811,693,0.000000,0.000000,0.000000,16989.17,True,
2026-01-29T17:08:20.554549,nemotron,873,255,0.000000,0.000000,0.000000,10528.76,True,
2026-01-29T17:13:33.321064,nemotron,766,543,0.000000,0.000000,0.000000,312764.17,True,
2026-01-29T17:14:11.606441,nemotron,834,433,0.000000,0.000000,0.000000,38283.53,True,
2026-01-29T17:14:18.487169,nemotron,778,448,0.000000,0.000000,0.000000,6878.54,True,
2026-01-29T17:14:32.725860,nemotron,862,929,0.000000,0.000000,0.000000,14237.77,True,
2026-01-29T17:15:05.460014,gemma,235,1369,0.000000,0.000000,0.000000,32732.42,True,
2026-01-29T17:15:10.234180,nemotron,833,348,0.000000,0.000000,0.000000,4768.55,True,
2026-01-29T17:15:57.976700,gemma,540,2388,0.000000,0.000000,0.000000,47741.25,True,
